what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1302067991863
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1302067991879
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1302067991895
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1302067991910
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1302067991910
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1302067991957
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1302067992113
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1302067992160
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1302067992176
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1302067992192
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1302067992207
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1302067992207
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1302067992238
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1302067992270
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1302067992270
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1302067992270
started,bundle,org.tigris.subversion.clientadapter,1.5.3,"org.tigris.subversion.clientadapter",1302067992285
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,"org.tigris.subversion.subclipse.core",1302067992317
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,"org.tigris.subversion.subclipse.ui",1302067992332
os,sysinfo,,,"win32",1302067992332
arch,sysinfo,,,"x86",1302067992332
ws,sysinfo,,,"win32",1302067992332
locale,sysinfo,,,"en_US",1302067992332
processors,sysinfo,,,"2",1302067992332
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1302067992332
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1302067992332
java.specification.name,sysinfo,,,"Java Platform API Specification",1302067992332
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302067992332
java.specification.version,sysinfo,,,"1.6",1302067992332
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302067992332
java.version,sysinfo,,,"1.6.0_16",1302067992332
java.vm.info,sysinfo,,,"mixed mode",1302067992332
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1302067992332
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302067992332
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302067992332
java.vm.specification.version,sysinfo,,,"1.0",1302067992332
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302067992332
java.vm.version,sysinfo,,,"14.2-b01",1302067992332
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1302067992426
